customer_id,name,email,loyalty_points,join_date
21ddefd4-1fe5-4392-a634-6927a1d62af7,David Stark,shane46@hotmail.com,2722,2024-06-04
0f21b87f-d760-4b14-a672-f880b84cd132,Mrs. Jacqueline Jackson,steven92@yahoo.com,3790,2024-05-28
6aa79fab-b22c-4a8c-8c63-d79e107dbe56,Thomas Clark,,5836,2024-06-10
9325a48c-14f2-47af-a3a2-3cd802109125,Matthew Ford,jamesbrown@johnson-johnson.com,2509,2024-06-20
d1ba1cf7-d108-4e92-8b7b-5217143e441b,Kristin Martinez,cynthia29@yahoo.com,3261,2024-03-12
765ad09f-d35d-4a55-9fc5-57da2c797dcc,Kayla Fisher,hbarnett@gmail.com,8642,2024-01-25
524b249b-9d98-4c05-8de3-b6044f53833c,Eileen Nolan,amanning@jones-wilson.com,5450,2024-03-02
8db0ae31-ac96-41ae-94a4-6d2f9f37590e,Mr. Randall Cunningham,izhang@yahoo.com,448,2024-02-10
934be77f-d8b0-4530-a217-2f468a4b7f24,Tammy Garrett,pricethomas@villanueva-brewer.org,5074,2024-02-07
d0308c70-5b9d-4f6a-adea-fd0ab378e66b,Katherine Scott,dyerdesiree@hotmail.com,2277,2024-02-24
b3cf0e8c-0c1c-4424-97e7-4cba66bd6123,Sean Gilmore,tamarawhite@yahoo.com,1779,2024-06-15
dcaa9882-6a75-444b-8c3e-83d4249fa313,Patrick Johnson,ishaw@gmail.com,5071,2024-01-01
5d7252ec-368f-470f-8c88-f1c6a5064991,Juan Pierce,michaelbonilla@hess.biz,3777,2024-03-25
a227def7-2a67-4bcf-9856-66b3432b9104,Leslie Hayes,xho@bryant.biz,938,2024-03-20
97f44938-c1e0-4601-9a93-9c865e4fd3a5,Jeffrey Higgins,sanchezchelsea@morales.org,5326,2024-03-19
48ead1b0-885d-496d-a709-6b2fd2c633c9,Tracey Trevino,lori22@norton.info,9183,2024-03-18
5f0a101f-3b5c-4489-91f2-7ec4a8736dc6,Melissa Mason,kyle44@armstrong.com,7941,
b7179606-cee4-426d-b32b-b32d0fdc2019,Angela Barnes,natasha32@sweeney.com,4627,2024-03-27
6f32e9c8-6030-4204-945c-c941fc317168,David Molina MD,christinestanley@yahoo.com,2262,2024-03-06
19b2b391-568d-4d53-b208-81893484ebf2,Vanessa Nguyen,ykramer@espinoza-johnson.com,3281,2024-04-10
72392421-7ee8-4584-9063-f081811a42bd,Lindsay Morales,stevenwilson@taylor.com,7473,2024-04-11
1268d68e-2558-46db-a55b-ff4c66b79c52,Katherine Rodriguez,riosmark@bryant.com,6222,2024-07-15
92b51563-62ce-44f5-86e4-67945b4ce718,Martin Duran,kaylamunoz@perez.com,754,2024-03-30
38fb76d5-99b1-465c-a928-fdbcb4a8d33b,Allison Osborne,jessica54@hotmail.com,3857,2024-03-26
7481c6d3-b3dc-4921-bfa7-b290f139a17f,Chad Knight,vdennis@zimmerman.net,4768,2024-03-30
65135410-e0f6-4a37-9d6c-3e3af044a51e,Carolyn King,claytonkim@gmail.com,6570,2024-01-24
c63570e0-b5cb-41e7-8436-03fb6566c7df,Mr. Jordan Mann,jjones@petersen.biz,9586,2024-04-16
39e831e4-4842-4d3d-84e1-66211b10db50,Heather Flores,xguerrero@yahoo.com,8014,2024-04-21
355f93c6-e766-4560-90f8-cdb7bcb070ba,,robert94@yahoo.com,678,2024-06-23
5396998e-338a-4f3d-9a25-2b303d29f352,Tanya Fernandez,alexandra75@yu-williams.com,8439,2024-01-20
5e51b721-9d8e-4fda-b0a7-ec0c17b4dc64,Jonathan Osborn,ryanelizabeth@hotmail.com,4710,2024-06-27
c2337207-e917-4a63-a534-29ab73067728,Jason Arellano,ginawilson@dean.com,8447,2024-04-11
5a87b10a-56bd-4d81-b695-e43bd1ec8ccb,Sean Ingram III,,8422,2024-01-07
cebde6c8-8cab-4004-a7fd-4d749c56196b,Jose Ruiz,curtis72@hotmail.com,4393,2024-06-18
a8d1800e-971a-4298-9d29-3314894a9473,Cheryl Brown,megan48@smith.com,2459,2024-02-18
50ce2c11-e227-4537-aadb-d6e166de4ec7,Gary Scott,brewernatalie@nash.com,6507,2024-03-31
4828ed64-68dc-4e5b-bed5-58612fbb3445,Justin Griffin,urussell@hotmail.com,9183,2024-06-20
82c1e5eb-b212-4bbd-b074-4b7182ccccbb,Lisa Ferrell,douglas22@hotmail.com,6226,2024-01-11
a5d6a49c-faab-4910-982d-ae7546d86f3b,Michelle Clayton,omarbrown@clark-leblanc.com,3078,2024-04-02
26d9c358-b2f6-4905-b580-589f5b8d07a8,Nina Ortiz,samantha09@fernandez.com,2284,2024-04-16
90d283a5-4ac9-443b-b7cc-12daf5ca944b,Seth Jennings Jr.,lauren44@reed.com,1843,2024-05-19
f74a8e20-d356-4148-b83e-891bc69b4f43,Heidi Alexander,operez@hotmail.com,8069,2024-05-19
a1ce494d-909f-4f04-b9a8-7d2745f77879,Angela Gutierrez,christopher70@gmail.com,1498,2024-02-18
fdc681a3-a2a0-453e-bcca-7a8161bde768,Jennifer Payne,joeljohnson@howell-allen.info,1806,2024-01-29
68bed912-aacd-497a-b904-9227c5e78172,Melinda Crawford,sherrisims@thompson-bowman.com,4611,2024-03-30
149f3afd-e168-4a4e-8837-193935966dc2,Amber Smith,catherine94@bailey.com,9869,2024-06-14
b4d127b9-48d3-4a14-8ca6-4ef390e9cd1a,Scott Castro,kimberlywilson@gmail.com,5391,2024-07-14
3071c623-1af1-4504-829f-e8954ead977c,Tara Alvarez,ricecatherine@yahoo.com,5818,2024-01-15
cb8e8f19-7f0d-4f74-a64c-d6f0c4d0d365,Mary Webster,kylelee@stanley-green.com,2699,2024-03-29
c8b803e6-3a1a-45a3-ab8d-e0466fb0c382,Allison Chavez,jennifer72@kelly.com,8621,2024-06-20
af92c984-4a40-4ddb-b723-f9978059bfb4,Wyatt Chen,enelson@yahoo.com,409,2024-04-30
17b1aed2-fc67-4a25-96bc-5a6924ce3b31,Chad Johnson,vholmes@terry.com,4220,2024-01-02
4a211205-66b2-43b9-b1af-50c8afd26696,Kathy Crawford,elizabeth69@allen.com,6079,2024-03-23
ff882b13-8318-40f2-b55f-6fc8a720cc0b,Mark Taylor,kpalmer@gmail.com,7273,2024-01-17
ede89817-b369-4e4f-9322-90e97b00b826,Dr. Robert Villarreal,jessicamiller@farley-white.com,329,2024-03-17
7e34e57f-18b0-4648-878d-be40e3f989c1,Hayley Wilkerson,cbrown@thompson.com,395,2024-01-15
04ba3303-5ed1-442c-8caf-47bd2bb883fb,Jorge Mcgee,scott16@yahoo.com,8098,2024-02-01
bafdace4-a443-46a3-98de-b838d9a66dda,Daniel Cooper,jallen@hotmail.com,9869,2024-07-21
9b7f326c-5b08-4196-a929-35eefcedc808,Jeffrey Hughes,ryangalloway@johnson.com,2228,2024-03-18
c0e165eb-9e80-4f90-84cf-fe85f7a22bc1,Christian Jackson,nathaniel99@hotmail.com,4719,2024-03-29
a8f288cd-0888-4538-8cbe-2b1f02ebea84,Shannon Peterson,onealbrian@holloway-mathews.info,3476,2024-06-14
5c2e5313-5160-450b-aed4-71da6202e33b,Andre Mckee,ugibson@nelson.biz,4265,2024-02-01
d95400ea-bc75-4e06-bf51-2b0febcfb770,Richard Green,michael19@yahoo.com,5842,2024-04-20
b3f300cc-6e6d-48f2-8385-5704e01657bd,Paul Gonzalez,lancehoover@white.com,-1,2024-06-04
43f0cf7c-53c8-47c1-9bda-9ad8c9dd25e3,Joshua Martinez,andreskelly@smith.com,8800,2024-05-19
ccb3b877-1256-4eda-9660-33da092ba37a,Glenn Nunez,jacqueline21@thomas-fleming.net,380,2024-01-29
58347ab6-e9b8-4ba5-b740-8e501979bbc8,John Brooks,nicholasnguyen@scott-mills.com,-1,2024-03-11
bec62a33-f583-4a0f-8c6a-0ea6e1319a1b,Shirley Gutierrez,craigbennett@ferguson-watson.com,9063,2024-04-03
b9fc990f-214f-43ba-9377-97be14ee0120,Nicole Hernandez,kross@villarreal-edwards.com,495,2024-06-27
957cff16-a0af-47ab-a47e-98e0d05d246a,Patrick Chandler,matthew55@perez.com,1969,2024-06-23
f52dbcdf-842f-4003-a79c-f3ee2ffbd1ea,Stacey Mclaughlin,kpoole@yahoo.com,8741,2024-02-17
38ce2560-73de-4f07-97d4-c29b378553e1,Andres Cervantes,mary86@love-ballard.info,79,2024-03-23
fd6719d1-42f5-4d07-9562-074837206bb1,Heather Zimmerman,brian32@bates.com,3714,2024-06-14
f397ace0-f2dd-458c-9186-d8999f89615e,Seth Harding,igomez@yahoo.com,224,2024-04-13
edaa6aa0-04a2-4b15-a432-f02ddea72b4d,Adam Sandoval,,5510,2024-03-29
f7f6f1ff-6259-4021-80ce-659addc6fe03,Gerald Williams,,6218,2024-07-23
bde20acd-ee13-4432-9dd7-f7b808841776,Mark Stanley,benjaminclarke@yahoo.com,8051,2024-02-01
9d4993ab-f8a4-4742-8d5d-0cdddc34ac88,Lauren Brown,melaniehansen@gmail.com,9915,2024-01-09
b8b25ead-3dfe-466c-9dca-639820186f02,Kevin Griffin,ericamartinez@vasquez.biz,6060,2024-05-11
c16ba85d-28fe-4ca6-9184-2ba08fa322e8,Sara Shepard,kcook@hotmail.com,5263,2024-01-19
babb81c1-2bbe-4a64-baf0-b4ad5a184bf5,Kevin Mason,douglasjordan@green-cohen.info,3354,2024-03-25
2f0e9c16-9742-4a00-a016-2492710984d5,Jane Johnson,zmaxwell@swanson.com,3408,2024-05-28
